name,Meadow ID,Meadow Name,Meadow Reference,Assessment Date,Assessment Points,Assessment Completed,Organization Affiliation,Elevation_m,Slope,Hydrogeomorphic Type,Land Ownership,Bank Height,Secondary Channel Bank Height,Gullies,Left Bank Stability,Right Bank Stability,Total Bank Stability,Secondary Channel Bank Stability,Vegetation Cover,Bare Ground,Encroachment,Restoration Efforts,Comments on Restoration,Headcut Present,Number of Headcuts,Ponds Present,Aspen Trees Present,Grazing Trails,Stubble,Dung in Channel,Hoof Prints on Banks,Surveyor(s),Trail,Evidence of OHV use,Road,Corral,Building,Vehical Access,Adjacent Culvert,Adjacent Bridge,Adjacent Road,Adjacent Building,Gopher Disturbance,"Willow, Alder, and Aspen Coverage",Fish Observed,Beavers,Latitude,Longitude,Watershed,General Comments
Bond Valley Meadow Assessment,LNF0357,Bond Valley Meadow,Bond Valley,"Wednesday, July 27, 2011",,Yes,Center for Watershed Sciences,1883,1,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Natural Condition,No,no channelized flow/ meadow is flooded,No,0,No,No,No,No,Yes,No,"Jason Emmons, Nick Jensen, Justin Jones",No,No,Yes,No,No,,No,No,Yes,No,0,0,,,40.438466,-121.13816,,
Hay Meadow Assessment,LNF0353,Hay Meadow,Hay,"Wednesday, July 27, 2011",,Yes,Center for Watershed Sciences,1949,1,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Slightly Impacted,Natural Condition,Natural Condition,No,meadow is flooded in some parts and is lake like / no channelized flow through meadow,No,0,No,No,No,Yes,Yes,No,"Jason Emmons, Nick Jensen, Justin Jones",Yes,No,No,Yes,No,,No,No,Yes,Yes,1,0.2,,,40.433083,-121.190454,,
Spencer Meadow Assessment,LNF0360,Spencer Meadow,Spencer,"Thursday, July 28, 2011",,Yes,Center for Watershed Sciences,2020,1,,U.S. Forest Service,Moderately Impacted,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Natural Condition,Natural Condition,Slightly Impacted,No,the meadow is flooded most of the time,Yes,1,No,No,No,No,No,No,"Jason Emmons, Nick Jensen, Justin Jones",No,No,No,No,No,,No,No,Yes,No,0,0.15,,,40.419922,-121.481442,,
Dry Lake Meadow Assessment,LNF0391,Dry Lake Meadow,Dry Lake,"Thursday, July 28, 2011",,Yes,Center for Watershed Sciences,1798,1,,U.S. Forest Service,Natural Condition,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Moderately Impacted,Slightly Impacted,Slightly Impacted,No,stream is very slow moving/ hydrology dominated by ephemeral lake,No,0,No,No,Yes,Yes,Yes,Yes,"Jason Emmons, Nick Jensen, Justin Jones",No,Yes,Yes,No,No,,No,No,Yes,No,0,0,,,40.390441,-121.61922,,
Crazy Harry Meadow Assessment,LNF0384,Crazy Harry Meadow,Crazy Harry,"Tuesday, July 26, 2011",,Yes,Center for Watershed Sciences,1600,0,,U.S. Forest Service,Heavily Impacted,,Heavily Impacted,Heavily Impacted,Heavily Impacted,,,Slightly Impacted,Slightly Impacted,Slightly Impacted,Yes,meadow is highly degraded with significant instream erosion. past restoration efforts visible,No,0,No,Yes,Yes,No,No,No,"Jason Emmons, Nick Jensen, Justin Jones",No,No,Yes,No,No,,Yes,No,Yes,No,1,0.15,,,40.395868,-120.859322,,
McCartney Meadow Assessment,LNF0430,McCartney Meadow,McCartney,"Saturday, September 10, 2011",,Yes,Center for Watershed Sciences,2053,3,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Natural Condition,No,"stream bank intact, no erosion/several small inlets/willow thickets along border",No,0,No,Yes,No,No,No,No,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,No,No,,No,No,Yes,No,5,0.05,,,40.309398,-120.835118,,
Lassen Willow Creek II Meadow Assessment,LNF0448,Lassen Willow Creek II Meadow,Lassen Willow Creek II,"Friday, September 9, 2011",,Yes,Center for Watershed Sciences,1985,0,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Natural Condition,No,fences around trees,No,0,Yes,Yes,No,No,Yes,No,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,No,No,,No,No,Yes,No,0,0.05,,,40.293178,-120.608458,,
Wheeler Sheep Camp Meadow Assessment,PNF0031,Wheeler Sheep Camp Meadow,Wheeler Sheep Camp,"Friday, September 9, 2011",,Yes,Center for Watershed Sciences,1988,4,,U.S. Forest Service,Slightly Impacted,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Slightly Impacted,Natural Condition,Natural Condition,Yes,meadow channel in poor condition. Check dams have been put in. Most of meadows channel is dried up,Yes,1,No,Yes,Yes,Yes,Yes,Yes,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,No,No,,Yes,No,Yes,No,1,0.05,,,40.277358,-120.643068,,"some lateral streams enter the meadow, giving water to toe slope vegetation"
Lowe Flat Meadow Assessment,PNF0054,Lowe Flat Meadow,Lowe Flat,"Friday, July 8, 2011",,Yes,Center for Watershed Sciences,1833,2,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Slightly Impacted,Yes,"meadow is in good shape,large stretches are flooded,no incisement,some conifer encroachment",No,0,No,Yes,Yes,No,Yes,No,"Jason Emmons, Nick Jensen",No,No,No,No,No,,Yes,No,Yes,No,0,0.2,,,40.254568,-120.600237,,....some clearings around edges of meadow
Little Antelope Creek Meadow Assessment,PNF0131,Little Antelope Creek Meadow,Little Antelope Creek,"Friday, September 9, 2011",,Yes,Center for Watershed Sciences,1530,3,,U.S. Forest Service,Slightly Impacted,,Natural Condition,Natural Condition,Natural Condition,,,Slightly Impacted,Natural Condition,Natural Condition,No,meadow is marshlike at lake edge/aquatic invasives present/stream is braided in places,Yes,2,Yes,No,No,No,Yes,No,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,No,No,,No,No,Yes,No,1,0.1,,,40.171461,-120.577956,,several  ponds/ willows as upstream boundary
Cottonwood Creek Meadow Assessment,PNF0201,Cottonwood Creek Meadow,Cottonwood Creek,"Wednesday, July 6, 2011",,Yes,Center for Watershed Sciences,1738,1,,U.S. Forest Service,Moderately Impacted,,Natural Condition,Moderately Impacted,Moderately Impacted,,,Natural Condition,Natural Condition,Natural Condition,No,"meadow dominated by flooding, looks good",No,0,Yes,No,No,No,No,No,"Jason Emmons, Nick Jensen",No,No,No,No,No,,No,No,Yes,No,0,0,,,40.148801,-120.460634,,
Plumas Willow Creek II Meadow Assessment,PNF0243,Plumas Willow Creek II Meadow,Plumas Willow Creek II,"Thursday, July 7, 2011",,Yes,Center for Watershed Sciences,1731,3.5,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Slightly Impacted,Yes,"slope was ~2%,steep section in middle where it narrows,beiow givies rise to 2% slopes again",No,0,No,No,No,No,Yes,No,"Jason Emmons, Nick Jensen",No,No,No,Yes,No,,No,No,No,No,1,0.01,,,40.113649,-120.390529,,stream channel not clearly discernable throughout meadow
Milkhouse Spring Meadow Assessment,LNF0548,Milkhouse Spring Meadow,Milkhouse Spring,"Friday, July 29, 2011",,Yes,Center for Watershed Sciences,1909,0,,U.S. Forest Service,Natural Condition,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Natural Condition,Natural Condition,Slightly Impacted,Yes,very nice neadow/mostly flooded above channelized stream/ patches of lodgepoles in mdw,No,0,No,No,No,No,Yes,No,"Jason Emmons, Nick Jensen, Justin Jones",No,No,No,No,No,,No,No,Yes,No,1,0.05,,,40.089949,-121.364063,,
Poison Creek Meadow Assessment,PNF0290,Poison Creek Meadow,Poison Creek,"Tuesday, July 5, 2011",,Yes,Center for Watershed Sciences,1707,2,,U.S. Forest Service,Moderately Impacted,,Natural Condition,Moderately Impacted,Moderately Impacted,,,Natural Condition,Natural Condition,Slightly Impacted,No,"relatively good shape for such high usage, could benefit from restoration and less usage",Yes,2,Yes,No,Yes,No,No,Yes,"Jason Emmons, Nick Jensen",No,Yes,No,No,No,,No,No,Yes,No,0,0.01,,,40.09377,-120.524687,,cattle trails lead to troughs
Plinco Mine Meadow Assessment,PNF0311,Plinco Mine Meadow,UCDSNM015415,"Thursday, July 7, 2011",,Yes,Center for Watershed Sciences,1820,5,,U.S. Forest Service,Slightly Impacted,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Natural Condition,Natural Condition,Slightly Impacted,No,no recent cattle grazing; much shrub encrch mdw center,Yes,2,No,No,No,No,No,No,"Jason Emmons, Nick Jensen",No,No,No,No,No,,No,No,Yes,No,0,0.15,,,40.088018,-120.292086,,
Silver Lake Fen Meadow Assessment,PNF0202,Silver Lake Fen Meadow,Silver Lake Fen,"Monday, August 6, 2012",,Yes,Center for Watershed Sciences,1753,4,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Slightly Impacted,No,NO CHANNELIZED FLOW,No,0,No,No,No,No,No,No,"Jason Emmons, Mathew Nitz, Robin Shin",Yes,No,No,No,No,,No,No,No,No,0,0.03,,,39.95839471,-121.1317783,,WATER POOLS ON THE FLAT PORTION BETWEEN EACH TERRACE AND SIOWLY DISCHARGES THROUGH THE PEAT SOIL.
Thompson Meadow Assessment,PNF0916,Thompson Meadow,UCDSNM015358,"Monday, August 6, 2012",,Yes,Center for Watershed Sciences,1667,4,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Moderately Impacted,No,"discharge mdw with a great looking channel until the outlet (see boundary book3, near the end)",Yes,1,No,No,Yes,Yes,Yes,No,"Jason Emmons, Mathew Nitz, Robin Shin",Yes,No,No,Yes,No,,No,No,Yes,No,0,0,,,39.97637354,-120.4761136,,
Right Hand Creek Wet II Meadow Assessment,PNF1261,Right Hand Creek Wet II Meadow,Right Hand Creek Wet II,"Thursday, September 8, 2011",,Yes,Center for Watershed Sciences,1836,3,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Natural Condition,No,,No,0,No,No,No,No,No,No,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,No,No,,No,No,No,No,1,0.01,,,39.941889,-121.181216,,
Right Hand Creek Wet Meadow Assessment,PNF0738,Right Hand Creek Wet Meadow,Right Hand Creek Wet,"Thursday, September 8, 2011",,Yes,Center for Watershed Sciences,1846,2,,U.S. Forest Service,Slightly Impacted,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Slightly Impacted,Natural Condition,Natural Condition,No,meadow is mostly flooded/stream is not pristine but mdw is healthy/ many alders along edge,No,0,Yes,No,No,No,No,No,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,No,No,,No,No,No,No,0,0.1,,,39.941312,-121.177146,,
Tamarack Flat Meadow Assessment,PNF0910,Tamarack Flat Meadow,Tamarack Flat,"Wednesday, September 7, 2011",,Yes,Center for Watershed Sciences,1601,7,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Natural Condition,No,"spring fed, very small, drains into adjacent stream (not part of meadow)",No,0,No,No,No,No,No,No,"Jason Emmons, Molly Ferrel, Nick Jensen, Justin Jones",No,No,No,No,No,,No,No,Yes,No,0,0.03,,,39.870207,-121.047097,,"spring fed, very small, drains into adjacent stream (not part of meadow)"
Lower Perazzo Meadow Assessment,TNF0411B,Lower Perazzo Meadow,Middle Perazzo,"Sunday, August 5, 2012",,Yes,Center for Watershed Sciences,1970,0,,U.S. Forest Service,Natural Condition,,Natural Condition,Heavily Impacted,Heavily Impacted,,,Slightly Impacted,Slightly Impacted,Heavily Impacted,No,SEE NOTEBOOKS,No,0,No,No,No,No,No,No,"Jason Emmons, Mathew Nitz, Robin Shin",No,Yes,Yes,No,No,,Yes,No,Yes,No,1,0.05,,,39.49277128,-120.3226371,,
Middle Perazzo Meadow Assessment,TNF0411A,Middle Perazzo Meadow,Middle Perazzo,"Sunday, August 5, 2012",,Yes,Center for Watershed Sciences,1972,2,,U.S. Forest Service,Heavily Impacted,,Natural Condition,Heavily Impacted,Heavily Impacted,,,Slightly Impacted,Slightly Impacted,Slightly Impacted,No,see description,No,0,Yes,No,Yes,No,Yes,Yes,"Jason Emmons, Mathew Nitz, Robin Shin",No,No,No,Yes,Yes,,Yes,No,Yes,Yes,1,0.2,,,39.49222372,-120.3227068,,fix ctrl point it needs to me moved to proper meadow
Van Norden Meadow Assessment,VN0001,Van Norden Meadow,Van Norden,"Wednesday, September 12, 2012",,Yes,Center for Watershed Sciences,2066,2,,Other,Natural Condition,,Slightly Impacted,Natural Condition,Natural Condition,,,Slightly Impacted,Moderately Impacted,Heavily Impacted,No,,No,0,No,No,No,No,No,No,"Anna Fryjoff-Hung, Mathew Nitz",No,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,2,0.13,,,39.31613675,-120.3648766,,
Ward Creek Meadow Assessment,TMU0047,Ward Creek Meadow,Ward Creek,"Tuesday, August 23, 2011",,Yes,Center for Watershed Sciences,1980,3,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Moderately Impacted,No,hydrology dominated by flooding and upland drainage into ward creek,No,0,No,No,No,No,No,No,"Anna Fryjoff-Hung, Jason Emmons, Nick Jensen, Justin Jones",No,No,No,No,No,,No,No,Yes,No,0,0.35,,,39.138645,-120.186565,,
Barker West Meadow Assessment,TNF1283,Barker West Meadow,Barker West,"Thursday, September 1, 2011",,Yes,Center for Watershed Sciences,2190,1,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Slightly Impacted,Slightly Impacted,Natural Condition,No,small flooded mdw/ no stream,No,0,No,No,No,No,No,No,"Jason Emmons, Nick Jensen, Justin Jones, Eric Holmes",No,No,No,No,No,,No,No,Yes,No,0,0.01,,,39.058349,-120.254513,,
Meeks Bay Meadow Assessment,TMU0272,Meeks Bay Meadow,Meeks Bay,"Wednesday, August 24, 2011",,Yes,Center for Watershed Sciences,1910,0,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Moderately Impacted,Yes,"hydrology dominated by flooding, no channelized flow",No,0,No,No,No,No,No,No,"Jason Emmons, Nick Jensen, Justin Jones",No,No,No,No,No,,No,No,Yes,No,0,0,,,39.02695,-120.143626,,"downed trees indicate restoration, many conifers are encroaching on what could be a bigger meadow"
Tallac Creek Meadow Assessment,TMU0133,Tallac Creek Meadow,Tallac Creek,"Wednesday, August 31, 2011",,Yes,Center for Watershed Sciences,1896,2,,U.S. Forest Service,Moderately Impacted,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Slightly Impacted,Moderately Impacted,No,largely dominated by flooding/ not much flow/ dry margins and many willows/ many lateral streams,No,0,No,Yes,No,No,No,No,"Jason Emmons, Nick Jensen, Justin Jones, Eric Holmes",Yes,No,No,No,No,,Yes,No,Yes,Yes,1,0.35,,,38.940417,-120.071155,,
Trout Creek Meadow Assessment,TMU0273,Trout Creek Meadow,Trout Creek,"Friday, August 3, 2012",,Yes,Center for Watershed Sciences,1909,2,,U.S. Forest Service,Moderately Impacted,,Natural Condition,Heavily Impacted,Heavily Impacted,,,Slightly Impacted,Natural Condition,Heavily Impacted,Yes,"hydrology dominated by groundwater, recharged by trout and cold creek",No,0,Yes,No,No,No,No,No,"Jason Emmons, Mathew Nitz, Robin Shin",Yes,No,Yes,No,No,,No,No,Yes,Yes,0,0.3,,,38.9034717,-119.9700489,,
Angora Meadow Assessment,TMU0172,Angora Meadow,Angora,"Wednesday, August 24, 2011",,Yes,Center for Watershed Sciences,2043,1,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Natural Condition,No,"meadow dominated by flooding, channel bordering road looks good",No,0,No,Yes,No,No,No,No,"Jason Emmons, Nick Jensen, Justin Jones",No,No,No,No,No,,Yes,No,Yes,Yes,0,0.05,,,38.901503,-120.037602,,
Haypress Meadow Assessment,TMU0240,Haypress Meadow,Haypress,"Tuesday, August 30, 2011",,Yes,Center for Watershed Sciences,2536,4,,U.S. Forest Service,Slightly Impacted,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Moderately Impacted,No,meadow's slope drains hillside and floods providing much water.,No,0,No,No,No,No,No,No,"Jason Emmons, Nick Jensen, Justin Jones, Eric Holmes",Yes,No,No,No,No,,No,No,No,No,0,0.4,,,38.854526,-120.109628,,
Benwood Meadow Assessment,TMU0270,Benwood Meadow,Benwood,"Friday, August 19, 2011",,Yes,Center for Watershed Sciences,2274,1,,U.S. Forest Service,Moderately Impacted,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Natural Condition,Natural Condition,Slightly Impacted,No,"streams are braided with several inflows, pacific crest trail borders to e of meadow.",No,0,Yes,Yes,No,No,No,No,"Jason Emmons, Molly Ferrel, Justin Jones",No,No,No,No,No,,No,No,No,No,0,0.1,,,38.800957,-120.032106,,
Grass Lake Meadow Assessment,TMU0276,Grass Lake Meadow,Grass Lake,"Thursday, September 1, 2011",,Yes,Center for Watershed Sciences,2347,1,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Natural Condition,No,"this is a meadow early in transition from a lake, there is a bog mat in the middle",No,0,No,Yes,Yes,No,No,No,"Jason Emmons, Nick Jensen, Justin Jones, Eric Holmes",No,No,No,No,No,,No,No,Yes,No,0,0.02,,,38.792693,-119.962761,,the hydrology is dominated by flooding
Cookhouse Meadow Assessment,TMU0275,Cookhouse Meadow,Cookhouse Meadow,"Friday, August 19, 2011",,Yes,Center for Watershed Sciences,2143,1,,U.S. Forest Service,Heavily Impacted,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Natural Condition,Natural Condition,Slightly Impacted,No,,No,0,Yes,Yes,No,No,No,No,"Jason Emmons, Molly Ferrel, Justin Jones",Yes,No,No,Yes,No,,Yes,Yes,Yes,No,0,0.15,,,38.791099,-120.007867,,
Big Meadow Assessment,TMU0282,Big Meadow,Big Meadow,"Thursday, August 25, 2011",,Yes,Center for Watershed Sciences,2309,1,,U.S. Forest Service,Moderately Impacted,,Natural Condition,Moderately Impacted,Moderately Impacted,,,Slightly Impacted,Natural Condition,Natural Condition,No,"main stream chan is very incised.Beaver dam at inlet causes braiding of stream, encourages flooding",Yes,1,No,Yes,No,No,No,No,"Jason Emmons, Nick Jensen, Justin Jones",Yes,No,No,No,No,,No,No,No,No,1,0.05,,,38.778833,-119.999543,,"many lateral streams enter meadow, these are not incised and help recharge meadow soil"
Big Meadow Creek II Meadow Assessment,TMU0311,Big Meadow Creek II Meadow,Big Meadow Creek,"Friday, August 26, 2011",,Yes,Center for Watershed Sciences,2392,3,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Slightly Impacted,Slightly Impacted,Slightly Impacted,No,"hydrology dominated by flooding, no channel; some edges very dry; patches of willows within",No,0,No,Yes,No,No,No,No,"Jason Emmons, Nick Jensen, Justin Jones",Yes,No,No,No,No,,No,No,No,No,1,0.15,,,38.773894,-119.984939,,
Big Meadow Creek Meadow Assessment,TMU0284,Big Meadow Creek Meadow,Big Meadow Creek,"Friday, August 26, 2011",,Yes,Center for Watershed Sciences,2402,3,,U.S. Forest Service,Moderately Impacted,,Natural Condition,Moderately Impacted,Moderately Impacted,,,Slightly Impacted,Natural Condition,Slightly Impacted,No,"stream becomes unchannelized and floods meadow,hydrology dominated by flooding with some dry parts",No,0,No,No,No,No,No,No,"Jason Emmons, Nick Jensen, Justin Jones",No,No,No,No,No,,No,No,No,No,0,0.3,,,38.77227,-119.983519,,
Government Meadow Assessment,ENF0713,Government Meadow,Government,"Thursday, August 18, 2011",,Yes,Center for Watershed Sciences,1921,1,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Slightly Impacted,No,"Hydrology dominated by flooding, no channelized flow present in meadow.",Yes,0,No,Yes,No,No,No,No,"Jason Emmons, Molly Ferrel, Justin Jones",Yes,No,No,No,No,,No,No,No,No,0,0.01,,,38.70859764,-120.1500261,,
Shaw Flat Meadow Assessment,ENF0790,Shaw Flat Meadow,Shaw Flat,"Tuesday, August 16, 2011",,Yes,Center for Watershed Sciences,2044,5,,U.S. Forest Service,Slightly Impacted,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Natural Condition,Natural Condition,Natural Condition,No,"meadow is flooded, this dominates the hydrology",Yes,1,No,No,No,No,No,No,"Jason Emmons, Molly Ferrel, Justin Jones",No,No,No,No,No,,No,No,Yes,No,0,0,,,38.653499,-120.190376,,
Mud Lake Meadow Assessment,ENF0907,Mud Lake Meadow,Mud Lake,"Thursday, August 2, 2012",,Yes,Center for Watershed Sciences,2397,2.5,,U.S. Forest Service,Slightly Impacted,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Natural Condition,Natural Condition,Natural Condition,No,two main branches of channel meet in meadow and fill the lake. Lake  and GW supplies lower slope.,Yes,1,No,No,No,No,No,No,"Jason Emmons, Mathew Nitz, Robin Shin",Yes,Yes,No,No,No,,No,No,Yes,No,1,0.1,,,38.61099977,-120.1465704,,upper slope fed through GW and tribs and is drier upslope
Landers Meadow Assessment,SQF0662,Landers Meadow,Landers,"Wednesday, May 2, 2012",,Yes,Center for Watershed Sciences,1925,4,,U.S. Forest Service,Slightly Impacted,,Slightly Impacted,Slightly Impacted,Slightly Impacted,,,Natural Condition,Natural Condition,Moderately Impacted,Yes,"mostly private land is grazed causing erosion and headcuts, significant islands of encroachment",Yes,,Yes,No,Yes,Yes,Yes,Yes,"Anna Fryjoff-Hung, Eric Holmes",Yes,No,No,Yes,No,,No,No,Yes,Yes,1,0.01,,,35.44465374,-118.3099728,,
Ladeux Meadow Assessment,ENF0985,Ladeux Meadow,Ladeux,"Wednesday, August 17, 2011",,Yes,Center for Watershed Sciences,2071,5,,U.S. Forest Service,Moderately Impacted,,Natural Condition,Slightly Impacted,Moderately Impacted,,,Moderately Impacted,Natural Condition,Slightly Impacted,Yes,two streams dominate the hydrology of the meadow. Stream on perimeter is large and intermittent,Yes,1,No,No,No,No,No,No,"Jason Emmons, Nick Jensen",No,No,Yes,Yes,Yes,,No,No,Yes,No,3,0,,,38.579498,-120.234772,,"stream in middle of mdw is small and intermittent, the two streams join near southern edge of meadow"
Onion Valley Meadow Assessment,ENF1055,Onion Valley Meadow,Onion Valley,"Wednesday, August 17, 2011",,Yes,Center for Watershed Sciences,2169,5,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Slightly Impacted,No,outflow from pond,No,0,Yes,No,No,No,No,No,"Jason Emmons, Molly Ferrel, Justin Jones",No,No,No,No,No,,No,No,No,No,0,0,,,38.564977,-120.188595,,
Barney Meadow Assessment,ENF1170,Barney Meadow,Barney,"Friday, July 1, 2011",,Yes,Center for Watershed Sciences,1224,6,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Slightly Impacted,Slightly Impacted,Moderately Impacted,No,,No,0,No,No,No,No,No,No,"Jason Emmons, Molly Ferrel, Justin Jones",No,No,No,Yes,No,,No,No,Yes,No,4,0,,,38.550603,-120.462655,,
Red Rock Meadow Assessment,STF0638,Red Rock Meadow,Red Rock,"Monday, September 19, 2011",,Yes,Center for Watershed Sciences,2536,2,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Slightly Impacted,Natural Condition,No,meadow was once larger/adjacent stream is incised and not connected to meadow,No,0,No,No,No,No,No,No,,No,No,No,No,No,,Yes,No,Yes,No,15,0,,,38.300908,-119.778563,,meadow is dry with border of/ sage on sloped ground/ hydrology is dom by flooding no channel flow
Barn Meadow Assessment,STF0657,Barn Meadow,Barn,"Tuesday, September 20, 2011",,Yes,Center for Watershed Sciences,2319,4,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Natural Condition,No,small healthy meadow/bound is dry slope or aspens/ much willows along stream,No,0,No,Yes,No,No,No,No,"Anna Fryjoff-Hung, Nick Jensen, Eric Holmes",Yes,No,No,No,No,,No,No,Yes,No,2,0.2,,,38.289657,-119.858184,,not much channelized flow/ chan is braided with not much of a dom chan/some mionr incision
Long Valley Meadow Assessment,STF0705,Long Valley Meadow,Long Valley,"Tuesday, September 20, 2011",,Yes,Center for Watershed Sciences,2395,5,,U.S. Forest Service,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,,,Slightly Impacted,Natural Condition,Natural Condition,No,"spring fed,separated hydrologically from adjacent creek",No,0,No,Yes,Yes,No,No,No,"Anna Fryjoff-Hung, Nick Jensen, Eric Holmes",No,No,No,No,No,,No,No,No,No,1,0.35,,,38.272265,-119.800255,,
Round II Meadow Assessment,STF1805,Round II Meadow,Round II,"Wednesday, September 21, 2011",,Yes,Center for Watershed Sciences,1954,1,,U.S. Forest Service,Heavily Impacted,,Heavily Impacted,Heavily Impacted,Heavily Impacted,,,Moderately Impacted,Heavily Impacted,Moderately Impacted,No,Highly degraded/massive erosion/sharp transition to incision/healthy upper meadow,Yes,7,No,Yes,Yes,Yes,Yes,Yes,"Anna Fryjoff-Hung, Nick Jensen, Eric Holmes",Yes,No,No,No,No,,No,No,No,No,5,0.1,,,38.162619,-119.958383,,
Round Meadow Assessment,STF1106,Round Meadow,Round,"Wednesday, September 21, 2011",,Yes,Center for Watershed Sciences,1947,2,,U.S. Forest Service,Moderately Impacted,,Natural Condition,Heavily Impacted,Heavily Impacted,,,Heavily Impacted,Heavily Impacted,Moderately Impacted,No,Highly degraded meadow/ much incision and bare ground/ much encroachment and graze trails,No,0,No,Yes,Yes,Yes,Yes,Yes,"Anna Fryjoff-Hung, Nick Jensen, Eric Holmes",No,No,No,No,No,,No,No,No,No,30,0.2,,,38.158868,-119.956677,,
Wrights Creek Meadow Assessment,STF1305,Wrights Creek Meadow,Wrights Creek,"Wednesday, September 21, 2011",,Yes,Center for Watershed Sciences,1622,3,,U.S. Forest Service,Moderately Impacted,,Natural Condition,Moderately Impacted,Moderately Impacted,,,Moderately Impacted,Moderately Impacted,Slightly Impacted,No,heavilv used by cattle/stream condition is variable/ lots of man made-diturbance= soil moving,No,0,No,No,Yes,Yes,Yes,Yes,"Anna Fryjoff-Hung, Nick Jensen, Eric Holmes",No,No,No,No,No,,Yes,Yes,Yes,No,5,0.05,,,38.079926,-120.094817,,
Faust Cabin Meadow Assessment,STF1345,Faust Cabin Meadow,Faust Cabin,"Thursday, September 22, 2011",,Yes,Center for Watershed Sciences,1610,3,,U.S. Forest Service,Slightly Impacted,,Natural Condition,Slightly Impacted,Slightly Impacted,,,Moderately Impacted,Slightly Impacted,Moderately Impacted,No,Highly impacted by cattle/lots of encroachment/stream is dry and hard to follow in places,Yes,2,No,No,Yes,Yes,Yes,Yes,"Anna Fryjoff-Hung, Nick Jensen, Eric Holmes",No,No,No,No,No,,No,No,Yes,No,2,0,,,38.046256,-120.113748,,
